天数,地点,美食1,美食1图片,美食2,美食2图片,美食3,美食3图片,美食4,美食4图片,美食5,美食5图片
D1,乌鲁木齐,血站大盘鸡,https://tse3-mm.cn.bing.net/th/id/OIP-C.eyxQs7Nol854vqsPHRGhVwHaE7?w=281&h=186,红柳烤肉,https://img95.699pic.com/photo/50523/8123.jpg_wh860.jpg,吴佳抓饭,https://img95.699pic.com/photo/50055/1805.jpg_wh860.jpg,椒麻鸡,https://pic.nximg.cn/file/20230320/21796946_190549619104_2.jpg,酸奶疙瘩,https://pic.nximg.cn/file/20221009/2611739_154214443107_2.jpg
D2,乌尔禾,克拉玛依烤全羊,https://img95.699pic.com/photo/50523/8123.jpg_wh860.jpg,油城大盘鸡,https://tse3-mm.cn.bing.net/th/id/OIP-C.eyxQs7Nol854vqsPHRGhVwHaE7?w=281&h=186,馕坑肉,https://img95.699pic.com/photo/50055/1804.jpg_wh860.jpg,凉皮子,https://pic.nximg.cn/file/20230320/21796946_190549619104_2.jpg,,
D3,布尔津,河堤夜市烤狗鱼,https://pic.nximg.cn/file/20221009/2611739_154214443107_2.jpg,五道黑冷水鱼,https://img95.699pic.com/photo/50055/1804.jpg_wh860.jpg,哈萨克手抓肉,https://img95.699pic.com/photo/50055/1805.jpg_wh860.jpg,格瓦斯,https://pic.nximg.cn/file/20230320/21796946_190549619104_2.jpg,奶酪包,https://img95.699pic.com/photo/30328/6982.jpg_wh860.jpg
D4,喀纳斯,清炖羊肉,https://img95.699pic.com/photo/50055/1805.jpg_wh860.jpg,奶茶配包尔萨克,https://pic.nximg.cn/file/20230320/21796946_190549619104_2.jpg,风干马肉,https://img95.699pic.com/photo/50055/1804.jpg_wh860.jpg,野蜂蜜,https://img95.699pic.com/photo/30328/6982.jpg_wh860.jpg,,
D5,禾木,图瓦人手抓肉,https://img95.699pic.com/photo/50055/1805.jpg_wh860.jpg,奶茶泡馕,https://pic.nximg.cn/file/20230320/21796946_190549619104_2.jpg,烤羊排,https://img95.699pic.com/photo/50523/8123.jpg_wh860.jpg,奶疙瘩,https://pic.nximg.cn/file/20221009/2611739_154214443107_2.jpg,,
D6,禾木,奶茶,https://pic.nximg.cn/file/20230320/21796946_190549619104_2.jpg,手抓饭,https://img95.699pic.com/photo/50055/1805.jpg_wh860.jpg,烤全羊,https://img95.699pic.com/photo/50523/8123.jpg_wh860.jpg,酸奶,https://img95.699pic.com/photo/30328/6982.jpg_wh860.jpg,热饮,https://pic.nximg.cn/file/20221009/2611739_154214443107_2.jpg
D7,布尔津,河堤夜市烤鱼,https://pic.nximg.cn/file/20221009/2611739_154214443107_2.jpg,俄罗斯列巴,https://img95.699pic.com/photo/30328/6982.jpg_wh860.jpg,酸奶奶酪,https://img95.699pic.com/photo/30360/2916.jpg_wh300.jpg,风干肉,https://img95.699pic.com/photo/50055/1804.jpg_wh860.jpg,,
D8,赛里木湖,蒙古包手抓羊肉,https://img95.699pic.com/photo/50055/1805.jpg_wh860.jpg,奶茶,https://pic.nximg.cn/file/20230320/21796946_190549619104_2.jpg,馕,https://img95.699pic.com/photo/30328/6982.jpg_wh860.jpg,,,
D9,伊宁,喀赞其手工冰淇淋,https://img95.699pic.com/photo/30328/6982.jpg_wh860.jpg,面肺子+米肠子,https://pic.nximg.cn/file/20230320/21796946_190549619104_2.jpg,烤包子,https://img95.699pic.com/photo/50523/8123.jpg_wh860.jpg,凉皮,https://img95.699pic.com/photo/50055/1804.jpg_wh860.jpg,卡瓦斯,https://pic.nximg.cn/file/20221009/2611739_154214443107_2.jpg
D10,那拉提,哈萨克手抓肉,https://img95.699pic.com/photo/50055/1805.jpg_wh860.jpg,马肉纳仁,https://img95.699pic.com/photo/50055/1804.jpg_wh860.jpg,熏马肠,https://img95.699pic.com/photo/50523/8123.jpg_wh860.jpg,马奶酒,https://pic.nximg.cn/file/20221009/2611739_154214443107_2.jpg,,
D11,库尔勒,库尔勒香梨,https://img95.699pic.com/photo/30328/6982.jpg_wh860.jpg,缸子肉,https://img95.699pic.com/photo/50055/1805.jpg_wh860.jpg,馕坑肉,https://img95.699pic.com/photo/50055/1804.jpg_wh860.jpg,烤全羊,https://img95.699pic.com/photo/50523/8123.jpg_wh860.jpg,,
D12,乌鲁木齐,二道桥大盘鸡,https://tse3-mm.cn.bing.net/th/id/OIP-C.eyxQs7Nol854vqsPHRGhVwHaE7?w=281&h=186,烤羊排,https://img95.699pic.com/photo/50523/8123.jpg_wh860.jpg,干果特产,https://img95.699pic.com/photo/30328/6982.jpg_wh860.jpg,拌面,https://pic.nximg.cn/file/20230320/21796946_190549619104_2.jpg,,
